samples,l1_time,l0_time,l1_acc,l0_acc,l1_fa,l0_fa
80,0.001,13,58,87,75,23,
85,0.001,12,63,91,70,17,
90,0.001,9.8,66,95,63,10,
95,0.001,9,69,96,75,11,
100,0.001,7.2,79,99,57,9,
105,0.001,4.6,75,97,61,8,
110,0.001,4.4,76,99,65,4,
115,0.001,1,84,99,59,1,
120,0.001,2.5,82,100,62,0,
125,0.001,0.5,89,100,54,0,
130,0.001,0.5,92,100,61,0,
135,0.001,0.75,91,100,55,0,
140,0.001,0.001,94,100,52,0,
145,0.001,0.001,95,100,51,0,
150,0.001,0.001,95,100,45,0,
155,0.001,0.001,99,100,47,0,
160,0.001,0.001,97,100,55,0,
165,0.001,0.001,98,100,57,0,
170,0.001,0.001,99,100,40,0,
175,0.001,0.001,99,100,59,0,
180,0.001,0.001,97,100,50,0,
185,0.001,0.001,100,100,43,0,
190,0.001,0.001,100,100,45,0,
195,0.001,0.001,100,100,47,0,
200,0.001,0.001,100,100,47,0,
205,0.001,0.001,100,100,47,0,
210,0.001,0.001,100,100,41,0,
215,0.001,0.001,100,100,47,0,
220,0.001,0.001,100,100,41,0,
